date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/1/2011,arizona-diamondbacks,oakland-athletics,53.24%,-114,114,-101,-116,13,30,$100,$99.01,$0,$100,$86.21,$186.21,$100,$99.01,$0,$100,$99.01,$0,,,,,,
7/1/2011,baltimore-orioles,atlanta-braves,-57.26%,134,-134,158,-185,24,51,$100,$54.05,$154.05,$100,$54.05,$154.05,$100,$158.00,$0,,,,,,,,,
7/1/2011,boston-red-sox,houston-astros,60.16%,-151,151,-133,114,18,37,$100,$75.19,$175.19,$100,$75.19,$175.19,$100,$75.19,$175.19,$100,$75.19,$175.19,,,,,,
7/1/2011,chicago-white-sox,chicago-cubs,54.81%,-121,121,-116,-101,5,22,$100,$86.21,$186.21,$100,$86.21,$186.21,$100,$86.21,$186.21,$100,$86.21,$186.21,,,,,,
7/1/2011,cleveland-indians,cincinnati-reds,-52.36%,110,-110,104,-121,6,11,$100,$82.64,$0,$100,$82.64,$0,,,,,,,,,,,,
7/1/2011,kansas-city-royals,colorado-rockies,-54.76%,121,-121,136,-158,15,37,$100,$63.29,$163.29,$100,$63.29,$163.29,$100,$136.00,$0,,,,,,,,,
7/1/2011,san-francisco-giants,detroit-tigers,-52.78%,112,-112,112,-129,0,17,$100,$77.52,$0,$100,$77.52,$0,,,,,,,,,,,,
7/1/2011,los-angeles-dodgers,los-angeles-angels,-53.43%,115,-115,100,-119,15,4,$100,$84.03,$0,$100,$84.03,$0,,,,,,,,,,,,
7/1/2011,milwaukee-brewers,minnesota-twins,-52.40%,110,-110,-119,100,29,10,$100,$100.00,$200.00,$100,$84.03,$0,$100,$100.00,$200.00,$100,$100.00,$200.00,$100,$100.00,$200.00,,,
7/1/2011,new-york-yankees,new-york-mets,56.58%,-130,130,-109,-106,21,36,$100,$91.74,$191.74,$100,$91.74,$191.74,$100,$91.74,$191.74,$100,$91.74,$191.74,,,,,,
7/1/2011,philadelphia-phillies,toronto-blue-jays,55.94%,-127,127,129,-151,56,78,$100,$129.00,$229.00,$100,$66.23,$0,$100,$129.00,$229.00,$100,$129.00,$229.00,$100,$129.00,$229.00,$100,$129.00,$229.00
7/1/2011,pittsburgh-pirates,washington-nationals,-51.87%,108,-108,129,-149,21,41,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$129.00,$0,,,,,,,,,
