date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/3/2010,houston-astros,san-diego-padres,-59.88%,149,-149,135,-161,14,12,$100,$62.11,$162.11,$100,$62.11,$162.11,,,,,,,,,,,,
7/3/2010,kansas-city-royals,los-angeles-angels,-54.32%,119,-119,152,-181,33,62,$100,$55.25,$0,$100,$55.25,$0,$100,$152.00,$252.00,,,,,,,,,
7/3/2010,tampa-bay-rays,minnesota-twins,51.04%,-104,104,127,-151,31,55,$100,$127.00,$227.00,$100,$66.23,$0,$100,$127.00,$227.00,$100,$127.00,$227.00,$100,$127.00,$227.00,,,
7/3/2010,new-york-mets,washington-nationals,57.05%,-133,133,161,-192,94,125,$100,$161.00,$0,$100,$52.08,$152.08,$100,$161.00,$0,$100,$161.00,$0,$100,$161.00,$0,$100,$161.00,$0
7/3/2010,toronto-blue-jays,new-york-yankees,-56.36%,129,-129,158,-188,29,59,$100,$53.19,$153.19,$100,$53.19,$153.19,$100,$158.00,$0,,,,,,,,,
7/3/2010,philadelphia-phillies,pittsburgh-pirates,59.29%,-146,146,-119,-101,27,47,$100,$84.03,$184.03,$100,$84.03,$184.03,$100,$84.03,$184.03,$100,$84.03,$184.03,,,,,,
,,,,,,,,,,$1300,$36.06,2.77%,$1300,$151.24,11.63%,$1200,-$251.97,-21.00%,$500,-$88.97,-17.79%,$200,$27.00,13.50%,$200,-$200.00,-100.00%
7/4/2010,los-angeles-dodgers,arizona-diamondbacks,58.12%,-139,139,-135,117,4,22,$100,$74.07,$174.07,$100,$74.07,$174.07,$100,$74.07,$174.07,$100,$74.07,$174.07,,,,,,
7/4/2010,baltimore-orioles,boston-red-sox,-62.62%,168,-168,183,-222,15,54,$100,$45.05,$0,$100,$45.05,$0,$100,$183.00,$283.00,,,,,,,,,
7/4/2010,cincinnati-reds,chicago-cubs,56.48%,-130,130,110,-129,40,59,$100,$110.00,$210.00,$100,$77.52,$0,$100,$110.00,$210.00,$100,$110.00,$210.00,$100,$110.00,$210.00,,,
7/4/2010,chicago-white-sox,texas-rangers,-56.54%,130,-130,139,-166,9,36,$100,$60.24,$0,$100,$60.24,$0,$100,$139.00,$239.00,,,,,,,,,
7/4/2010,oakland-athletics,cleveland-indians,55.31%,-124,124,104,-123,28,47,$100,$104.00,$204.00,$100,$81.30,$0,$100,$104.00,$204.00,$100,$104.00,$204.00,$100,$104.00,$204.00,,,
7/4/2010,san-francisco-giants,colorado-rockies,-55.75%,126,-126,106,-125,20,1,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$80.00,$180.00,,,,,,
7/4/2010,seattle-mariners,detroit-tigers,-59.59%,147,-147,-121,100,68,47,$100,$100.00,$0,$100,$82.64,$182.64,$100,$100.00,$0,$100,$100.00,$0,$100,$100.00,$0,$100,$100.00,$0
7/4/2010,houston-astros,san-diego-padres,-60.07%,150,-150,138,-163,12,13,$100,$61.35,$161.35,$100,$61.35,$161.35,,,,,,,,,,,,
7/4/2010,kansas-city-royals,los-angeles-angels,-53.59%,115,-115,158,-188,43,73,$100,$53.19,$153.19,$100,$53.19,$153.19,$100,$158.00,$0,,,,,,,,,
7/4/2010,tampa-bay-rays,minnesota-twins,53.50%,-115,115,-119,-101,4,16,$100,$84.03,$184.03,$100,$84.03,$184.03,,,,,,,,,,,,
7/4/2010,new-york-mets,washington-nationals,56.78%,-131,131,-103,-116,28,47,$100,$97.09,$197.09,$100,$86.21,$0,$100,$97.09,$197.09,$100,$97.09,$197.09,,,,,,
7/4/2010,toronto-blue-jays,new-york-yankees,-57.33%,134,-134,193,-232,59,98,$100,$43.10,$143.10,$100,$43.10,$143.10,$100,$193.00,$0,,,,,,,$100,$193.00,$0
7/4/2010,philadelphia-phillies,pittsburgh-pirates,59.36%,-146,146,-144,122,2,24,$100,$69.44,$0,$100,$69.44,$0,$100,$69.44,$0,$100,$69.44,$0,,,,,,
,,,,,,,,,,$1300,$306.84,23.60%,$1300,-$121.60,-9.35%,$1100,$387.16,35.20%,$700,$265.16,37.88%,$300,$114.00,38.00%,$200,-$200.00,-100.00%
7/5/2010,chicago-cubs,arizona-diamondbacks,53.05%,-113,113,108,-129,21,42,$100,$108.00,$208.00,$100,$77.52,$0,$100,$108.00,$208.00,$100,$108.00,$208.00,$100,$108.00,$208.00,,,
7/5/2010,atlanta-braves,philadelphia-phillies,-50.16%,101,-101,174,-204,73,103,$100,$49.02,$149.02,$100,$49.02,$149.02,$100,$174.00,$0,,,,,,,$100,$174.00,$0
7/5/2010,baltimore-orioles,detroit-tigers,-61.83%,162,-162,168,-196,6,34,$100,$51.02,$151.02,$100,$51.02,$151.02,$100,$168.00,$0,,,,,,,,,
7/5/2010,boston-red-sox,tampa-bay-rays,-50.40%,102,-102,143,-172,41,70,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$143.00,$0,,,,,,,,,
7/5/2010,los-angeles-angels,chicago-white-sox,-50.01%,100,-100,134,-158,34,58,$100,$63.29,$163.29,$100,$63.29,$163.29,$100,$134.00,$0,,,,,,,,,
7/5/2010,cincinnati-reds,new-york-mets,-50.95%,104,-104,127,-151,23,47,$100,$66.23,$0,$100,$66.23,$0,$100,$127.00,$227.00,,,,,,,,,
7/5/2010,cleveland-indians,texas-rangers,-60.67%,154,-154,181,-217,27,63,$100,$46.08,$0,$100,$46.08,$0,$100,$181.00,$281.00,,,,,,,,,
7/5/2010,kansas-city-royals,seattle-mariners,50.24%,-101,101,185,-222,86,123,$100,$185.00,$285.00,$100,$45.05,$0,$100,$185.00,$285.00,$100,$185.00,$285.00,$100,$185.00,$285.00,$100,$185.00,$285.00
