date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/2/2016,Chicago-White-Sox,Houston-Astros,-57.0%,133,-133,-110,-110,43,23,$100,$91,$0,$100,$91,$0,,,,,,
7/2/2016,Miami-Marlins,Atlanta-Braves,58.6%,-142,142,-270,230,128,88,$100,$230,$330,,,,,,,$100,$230,$330
7/2/2016,Kansas-City-Royals,Philadelphia-Phillies,56.0%,-127,127,-130,110,3,17,$100,$77,$177,$100,$77,$177,,,,,,
7/2/2016,Chicago-Cubs,New-York-Mets,-57.0%,133,-133,-190,165,123,98,$100,$165,$265,$100,$165,$265,$100,$165,$265,$100,$165,$265
7/2/2016,Cincinnati-Reds,Washington-Nationals,-61.0%,158,-158,170,-200,12,42,$100,$170,$270,,,,,,,,,
7/2/2016,Los-Angeles-Angels,Boston-Red-Sox,-58.0%,137,-137,140,-160,3,23,$100,$140,$240,,,,,,,,,
7/2/2016,Pittsburgh-Pirates,Oakland-Athletics,53.6%,-115,115,135,-155,50,70,$100,$135,$235,$100,$135,$235,$100,$135,$235,$100,$135,$235
7/2/2016,Colorado-Rockies,Los-Angeles-Dodgers,-55.5%,125,-125,165,-190,40,65,$100,$165,$0,,,,,,,,,
7/2/2016,San-Francisco-Giants,Arizona-Diamondbacks,59.5%,-147,147,-110,-110,37,57,$100,$91,$0,$100,$91,$0,,,,,,
7/2/2016,New-York-Yankees,San-Diego-Padres,52.9%,-112,112,105,-125,17,37,$100,$105,$0,$100,$105,$0,$100,$105,$0,,,
7/2/2016,Baltimore-Orioles,Seattle-Mariners,53.0%,-113,113,125,-145,38,58,$100,$125,$0,$100,$125,$0,$100,$125,$0,,,
,,,,,,,,,,$1400,$294,21.0%,$800,-$123,-15.38%,$400,$100,25%,$400,$430,107.5%
7/3/2016,Cleveland-Indians,Tonronto-Blue-Jays,55.0%,-120,120,-135,115,,,,,,,,,,,,,,
7/3/2016,Texas-Rangers,Minnesota-Twins,61.0%,-157,157,-150,130,7,27,$100,$66.6,$0,$100,$66.6,$0,,,,,,
7/3/2016,Milwaukee-Brewers,St.-Louis-Cardinals,-57.7%,136,-136,155,-175,19,39,$100,$155,$0,,,,,,,,,
7/3/2016,Detroit-Tigers,Tampa-Bay-Rays,55.2%,-124,124,135,-155,59,79,$100,$135,$235,$100,$135,$235,$100,$135,$235,$100,$135,$235
7/3/2016,Chicago-White-Sox,Houston-Astros,-55.5%,120,-120,120,-140,0,20,$100,$120,$220,,,,,,,,,
7/3/2016,Miami-Marlins,Atlanta-Braves,57.7%,-136,136,-130,-105,6,41,$100,$77,$177,$100,$77,$177,,,,,,
7/3/2016,Kansas-City-Royals,Philadelphia-Phillies,56.5%,-130,130,-105,-115,25,45,$100,$95.2,$0,$100,$95.2,$0,,,,,,
7/3/2016,Chicago-Cubs,New-York-Mets,58.0%,-138,138,-122,102,16,36,$100,$82,$0,$100,$82,$0,,,,,,
7/3/2016,Cincinnati-Reds,Washington-Nationals,-61.0%,157,-157,,,,,,,,,,,,,,,,
7/3/2016,Los-Angeles-Angels,Boston-Red-Sox,-56.0%,129,-129,-110,-110,39,19,$100,$91,$191,$100,$91,$191,$100,$91,$191,,,
7/3/2016,Pittsburgh-Pirates,Oakland-Athletics,54.0%,-118,118,125,-145,43,63,$100,$125,$225,$100,$125,$225,$100,$125,$225,,,
7/3/2016,Colorado-Rockies,Los-Angeles-Dodgers,-57.0%,133,-133,115,-135,18,2,,,,,,,,,,,,
7/3/2016,San-Francisco-Giants,Arizona-Diamondbacks,59.0%,-144,144,110,-130,54,74,$100,$110,$210,$100,$110,$210,$100,$110,$210,$100,$110,$210
7/3/2016,New-York-Yankees,San-Diego-Padres,50.7%,-103,103,-118,-102,15,5,,,,,,,,,,,,
7/3/2016,Baltimore-Orioles,Seattle-Mariners,50.6%,-103,103,125,-145,28,48,$100,$125,$0,$100,$125,$0,$100,$125,$0,,,
,,,,,,,,,,$1100,$158,14.36%,$900,$138,15.33%,$500,$361,72.2%,$200,$245,122.5%
7/4/2016,Atlanta-Braves,Philadelphia-Phillies,-54.5%,120,-120,135,-155,15,35,$100,$135,$0,,,,,,,,,
7/4/2016,Baltimore-Orioles,Los-Angeles-Dodgers,-57.0%,132,-132,135,-155,3,23,$100,$135,$0,,,,,,,,,
7/4/2016,Cincinnati-Reds,Chicago-Cubs,-61.0%,158,-158,230,-270,72,112,$100,$230,$0,,,,,,,$100,$230,$0
7/4/2016,Colorado-Rockies,San-Francisco-Giants,-57.0%,133,-133,117,-127,16,6,$100,$78.8,$178.8,$100,$78.8,$178.8,,,,,,
7/4/2016,Detroit-Tigers,Cleveland-Indians,-55.6%,125,-125,163,-178,38,53,$100,$163,$0,,,,,,,,,
7/4/2016,Kansas-City-Royals,Toronto-Blue-Jays,-55.0%,124,-124,160,-180,36,56,$100,$160,$0,,,,,,,,,
7/4/2016,Los-Angeles-Angels,Tampa-Bay-Rays,50.0%,100,100,115,-135,15,35,$100,$115,$0,,,,,,,,,
7/4/2016,Miami-Marlins,New-York-Mets,-53.5%,115,-115,140,-160,25,45,$100,$140,$0,,,,,,,,,
7/4/2016,Milwaukee-Brewers,Washington-Nationals,-61.0%,156,-156,210,-250,54,94,$100,$210,$310,,,,,,,$100,$210,$310
7/4/2016,New-York-Yankees,Chicago-White-Sox,-52.0%,110,-110,-125,105,35,16,$100,$105,$205,$100,$105,$205,$100,$105,$205,,,
7/4/2016,Oakland-Athletics,Minnesota-Twins,54.0%,-118,118,-110,-110,8,28,$100,$91,$191,$100,$91,$191,$100,$91,$191,,,
7/4/2016,Pittsburgh-Pirates,St.-Louis-Cardinals,-53.0%,112,-112,165,-190,53,78,$100,$165,$265,,,,,,,$100,$165,$265
7/4/2016,San-Diego-Padres,Arizona-Diamondbacks,52.0%,-109,109,140,-160,49,69,$100,$140,$240,$100,$140,$240,$100,$140,$240,$100,$140,$240
7/4/2016,Seattle-Mariners,Houston-Astros,-52.6%,111,-111,145,-165,34,54,$100,$145,$0,,,,,,,,,
7/4/2016,Texas-Rangers,Boston-Red-Sox,53.5%,-115,115,150,-170,65,85,$100,$150,$0,$100,$150,$0,$100,$150,$0,$100,$150,$0
,,,,,,,,,,$1500,-$110.2,-7.35%,$500,$314.8,62.96%,$400,$236,59%,$500,$315,63.0%
7/5/2016,Atlanta-Braves,Philadelphia-Phillies,-54.7%,121,-121,-103,-107,24,14,$100,$93.4,$193.4,$100,$93.4,$193.4,,,,,,
7/5/2016,Baltimore-Orioles,Los-Angeles-Dodgers,-60.0%,150,-150,135,-150,15,0,$100,$66.6,$0,$100,$66.6,$0,,,,,,
7/5/2016,Cincinnati-Reds,Chicago-Cubs,-61.5%,160,-160,220,-250,60,90,$100,$220,$320,,,,,,,$100,$220,$320
7/5/2016,Colorado-Rockies,San-Francisco-Giants,-57.5%,136,-136,205,-235,69,99,$100,$205,$305,,,,,,,$100,$205,$305
7/5/2016,Detroit-Tigers,Cleveland-Indians,-56.9%,132,-132,165,-185,33,53,$100,$165,$0,,,,,,,,,
