date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/15/2016,Boston-Red-Sox,New-York-Yankees,55.70%,-126,126,100,-120,26,46,$100,$100,$200,$100,$100,$200,$100,$100,$200,,,
7/15/2016,Chicago-White-Sox,Los-Angeles-Angels,54.10%,-118,118,115,-145,33,63,$100,$115,$0,$100,$115,$0,$100,$115,$0,,,
7/15/2016,Cleveland-Indians,Minnesota-Twins,60%,-150,150,-160,140,,,,,,,,,,,,,,
7/15/2016,Colorado-Rockies,Atlanta-Braves,56.70%,-131,131,-115,-105,16,36,$100,$87,$187,$100,$87,$187,,,,,,
7/15/2016,Houston-Astros,Seattle-Mariners,52%,-109,109,110,-130,19,39,$100,$110,$210,$100,$110,$210,$100,$110,$210,,,
7/15/2016,Kansas-City-Royals,Detroit-Tigers,-55.80%,126,-126,125,-145,,,,,,,,,,,,,,
7/15/2016,Los-Angeles-Dodgers,Arizona-Diamondbacks,57.60%,-136,136,-125,105,11,31,$100,$80,$180,$100,$80,$180,,,,,,
7/15/2016,Miami-Marlins,St.Louis-Cardinals,-53.20%,114,-114,125,-145,11,31,$100,$125,$225,,,,,,,,,
7/15/2016,Milwaukee-Brewers,Cincinnati-Reds,55.40%,-124,124,130,-150,54,74,$100,$130,$0,$100,$130,$0,$100,$130,$0,$100,$130,$0
7/15/2016,New-York-Mets,Philadelphia-Phillies,56.20%,-128,128,-125,105,,,,,,,,,,,,,,
7/15/2016,Pittsburgh-Pirates,Washington-Nationals,-56.80%,131,-131,170,-200,39,59,$100,$170,$0,,,,,,,,,
7/15/2016,San-Francisco-Giants,San-Diego-Padres,59.30%,-146,146,-260,185,114,39,$100,$175,$275,,,,,,,,,
7/15/2016,Texas-Rangers,Chicago-Cubs,-56.20%,128,-128,170,-200,42,72,$100,$170,$0,,,,,,,,,
7/15/2016,Toronto-Blue-Jays,Oakland-Athletics,59.60%,-147,147,-133,113,14,34,$100,$75.19,$0,$100,$75.19,$0,,,,,,
,,,,,,,,,,$1200,$295,24.6%,$800,$195,24.38%,$500,$128,25.6%,$200,$18,9%
7/16/2016,Baltimore-Orioles,Tampa-Bay-Rays,58.80%,-143,143,-127,107,16,36,$100,$78.8,$178.8,$100,$78.8,$178.8,,,,,,
7/16/2016,Boston-Red-Sox,New-York-Yankees,56.00%,-127,127,110,-130,37,57,$100,$110,$210,$100,$110,$210,$100,$110,$210,,,
7/16/2016,Chicago-White-Sox,Los-Angeles-Angels,-50.60%,102,-102,140,-160,38,58,$100,$140,$0,,,,,,,,,
7/16/2016,Cleveland-Indians,Minnesota-Twins,60.30%,-152,152,-135,115,17,37,$100,$74,$0,$100,$74,$0,,,,,,
7/16/2016,Colorado-Rockies,Atlanta-Braves,57.60%,-136,136,-110,-110,26,46,$100,$90.9,$190.9,$100,$90.9,$190.9,,,,,,
7/16/2016,Houston-Astros,Seattle-Mariners,52.50%,-111,111,-111,101,0,10,$100,$100,$0,$100,$100,$0,,,,,,
7/16/2016,Kansas-City-Royals,Detroit-Tigers,-57.20%,133,-133,-122,102,55,35,$100,$102,$0,$100,$102,$0,$100,$102,$0,,,
7/16/2016,Kansas-City-Royals,Detroit-Tigers,-57.20%,133,-133,-137,130,70,63,$100,$130,$0,$100,$130,$0,$100,$130,$0,$100,$130,$0
7/16/2016,Los-Angeles-Dodgers,Arizona-Diamondbacks,57.60%,-136,136,-157,142,21,6,$100,$142,$242,,,,,,,,,
7/16/2016,Miami-Marlins,St.Louis-Cardinals,-52.60%,110,-110,155,-168,45,58,$100,$155,$0,,,,,,,$100,$155,$0
7/16/2016,Milwaukee-Brewers,Cincinnati-Reds,55.00%,-122,122,-105,-115,17,37,$100,$95.2,$195.2,$100,$95.2,$195.2,,,,,,
7/16/2016,New-York-Mets,Philadelphia-Phillies,56.50%,-130,130,-110,-110,20,40,$100,$90.8,$0,$100,$90.8,$0,,,,,,
7/16/2016,New-York-Mets,Philadelphia-Phillies,56.50%,-130,130,115,-125,45,55,$100,$115,$0,$100,$115,$0,$100,$115,$0,$100,$115,$0
7/16/2016,Pittsburgh-Pirates,Washington-Nationals,-57.40%,135,-135,100,-120,35,15,$100,$83.4,$183.4,$100,$83.4,$183.4,,,,,,
7/16/2016,San-Francisco-Giants,San-Diego-Padres,58.90%,-143,143,-175,155,32,12,$100,$155,$255,,,,,,,,,
7/16/2016,Texas-Rangers,Chicago-Cubs,-56.90%,132,-132,108,-118,24,14,$100,$84.8,$184.8,$100,$84.8,$184.8,,,,,,
7/16/2016,Toronto-Blue-Jays,Oakland-Athletics,58.70%,-142,142,-134,124,8,18,$100,$74.6,$0,$100,$74.6,$0,,,,,,
,,,,,,,,,,$1700,-$59.9,-3.52%,$1300,-$156.9,-12.06%,$400,-$190,-47.5%,$300,-$300,-100%
