date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/1/2013,arizona-diamondbacks,new-york-mets,55.21%,-123,123,-119,102,4,21,$100,$84.03,$0,$100,$84.03,$0,$100,$84.03,$0,$100,$84.03,$0,,,,,,
7/1/2013,san-francisco-giants,cincinnati-reds,-57.59%,136,-136,136,-156,0,20,$100,$64.10,$164.10,$100,$64.10,$164.10,,,,,,,,,,,,
7/1/2013,detroit-tigers,toronto-blue-jays,50.61%,-102,102,112,-129,14,31,$100,$112.00,$0,$100,$77.52,$177.52,$100,$112.00,$0,$100,$112.00,$0,$100,$112.00,$0,,,
7/1/2013,tampa-bay-rays,houston-astros,58.73%,-142,142,-169,145,27,3,$100,$59.17,$159.17,$100,$59.17,$159.17,$100,$145.00,$0,,,,,,,,,
7/1/2013,san-diego-padres,miami-marlins,55.58%,-125,125,125,-144,50,69,$100,$125.00,$0,$100,$69.44,$169.44,$100,$125.00,$0,$100,$125.00,$0,$100,$125.00,$0,$100,$125.00,$0
7/1/2013,milwaukee-brewers,washington-nationals,-55.51%,125,-125,169,-196,44,71,$100,$51.02,$151.02,$100,$51.02,$151.02,$100,$169.00,$0,,,,,,,,,
7/1/2013,new-york-yankees,minnesota-twins,-51.51%,106,-106,-117,100,23,6,$100,$100.00,$0,$100,$85.47,$185.47,$100,$100.00,$0,$100,$100.00,$0,$100,$100.00,$0,,,
,,,,,,,,,,$700,-$225.71,-32.24%,$700,$306.73,43.82%,$600,-$600.00,-100.00%,$400,-$400.00,-100.00%,$300,-$300.00,-100.00%,$100,-$100.00,-100.00%
7/2/2013,arizona-diamondbacks,new-york-mets,54.80%,-121,121,-142,124,21,3,$100,$70.42,$0,$100,$70.42,$0,$100,$124.00,$224.00,,,,,,,,,
7/2/2013,miami-marlins,atlanta-braves,-61.51%,160,-160,225,-263,65,103,$100,$38.02,$138.02,$100,$38.02,$138.02,$100,$225.00,$0,,,,,,,$100,$225.00,$0
7/2/2013,baltimore-orioles,chicago-white-sox,56.99%,-133,133,-120,102,13,31,$100,$83.33,$0,$100,$83.33,$0,$100,$83.33,$0,$100,$83.33,$0,,,,,,
7/2/2013,san-diego-padres,boston-red-sox,-58.85%,143,-143,190,-222,47,79,$100,$45.05,$145.05,$100,$45.05,$145.05,$100,$190.00,$0,,,,,,,$100,$190.00,$0
7/2/2013,chicago-cubs,oakland-athletics,-56.48%,130,-130,187,-217,57,87,$100,$46.08,$146.08,$100,$46.08,$146.08,$100,$187.00,$0,,,,,,,$100,$187.00,$0
7/2/2013,san-francisco-giants,cincinnati-reds,-58.50%,141,-141,159,-185,18,44,$100,$54.05,$154.05,$100,$54.05,$154.05,$100,$159.00,$0,,,,,,,,,
7/2/2013,cleveland-indians,kansas-city-royals,52.90%,-112,112,-105,-111,7,23,$100,$95.24,$195.24,$100,$90.09,$0,$100,$95.24,$195.24,$100,$95.24,$195.24,,,,,,
7/2/2013,los-angeles-dodgers,colorado-rockies,-56.10%,128,-128,-149,129,77,57,$100,$129.00,$0,$100,$67.11,$167.11,$100,$129.00,$0,$100,$129.00,$0,$100,$129.00,$0,$100,$129.00,$0
7/2/2013,detroit-tigers,toronto-blue-jays,-50.96%,104,-104,-151,131,55,35,$100,$131.00,$0,$100,$66.23,$166.23,$100,$131.00,$0,$100,$131.00,$0,$100,$131.00,$0,,,
7/2/2013,tampa-bay-rays,houston-astros,59.34%,-146,146,-196,169,50,23,$100,$51.02,$151.02,$100,$51.02,$151.02,$100,$169.00,$0,,,,,,,,,
7/2/2013,milwaukee-brewers,washington-nationals,-56.39%,129,-129,225,-270,96,141,$100,$37.04,$0,$100,$37.04,$0,$100,$225.00,$325.00,,,,,,,$100,$225.00,$325.00
7/2/2013,new-york-yankees,minnesota-twins,-51.27%,105,-105,-102,-113,7,8,$100,$88.50,$0,$100,$88.50,$0,,,,,,,,,,,,
7/2/2013,philadelphia-phillies,pittsburgh-pirates,-58.08%,139,-139,135,-153,4,14,$100,$65.36,$0,$100,$65.36,$0,,,,,,,,,,,,
7/2/2013,seattle-mariners,texas-rangers,-57.99%,138,-138,139,-161,1,23,$100,$62.11,$0,$100,$62.11,$0,$100,$139.00,$239.00,,,,,,,,,
,,,,,,,,,,$1400,-$470.54,-33.61%,$1400,-$332.44,-23.75%,$1200,-$216.76,-18.06%,$400,-$204.76,-51.19%,$200,-$200.00,-100.00%,$500,-$175.00,-35.00%
7/3/2013,arizona-diamondbacks,new-york-mets,-50.69%,103,-103,156,-181,53,78,$100,$55.25,$0,$100,$55.25,$0,$100,$156.00,$256.00,,,,,,,$100,$156.00,$256.00
7/3/2013,miami-marlins,atlanta-braves,-61.90%,162,-162,186,-217,24,55,$100,$46.08,$0,$100,$46.08,$0,$100,$186.00,$286.00,,,,,,,,,
7/3/2013,baltimore-orioles,chicago-white-sox,56.53%,-130,130,-125,108,5,22,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$80.00,$180.00,,,,,,
7/3/2013,san-diego-padres,boston-red-sox,-59.32%,146,-146,174,-200,28,54,$100,$50.00,$150.00,$100,$50.00,$150.00,$100,$174.00,$0,,,,,,,,,
7/3/2013,chicago-cubs,oakland-athletics,-57.09%,133,-133,172,-200,39,67,$100,$50.00,$0,$100,$50.00,$0,$100,$172.00,$272.00,,,,,,,,,
7/3/2013,san-francisco-giants,cincinnati-reds,-59.05%,144,-144,158,-185,14,41,$100,$54.05,$154.05,$100,$54.05,$154.05,$100,$158.00,$0,,,,,,,,,
7/3/2013,cleveland-indians,kansas-city-royals,53.44%,-115,115,-103,-112,12,27,$100,$97.09,$0,$100,$89.29,$189.29,$100,$97.09,$0,$100,$97.09,$0,,,,,,
7/3/2013,los-angeles-dodgers,colorado-rockies,50.04%,-100,100,-222,190,122,90,$100,$45.05,$145.05,$100,$45.05,$145.05,$100,$190.00,$0,,,,,,,$100,$190.00,$0
7/3/2013,detroit-tigers,toronto-blue-jays,51.15%,-105,105,-131,114,26,9,$100,$76.34,$176.34,$100,$76.34,$176.34,$100,$114.00,$0,,,,,,,,,
7/3/2013,tampa-bay-rays,houston-astros,62.49%,-167,167,-161,140,6,27,$100,$62.11,$0,$100,$62.11,$0,$100,$62.11,$0,$100,$62.11,$0,,,,,,
7/3/2013,milwaukee-brewers,washington-nationals,-55.51%,125,-125,124,-142,1,17,$100,$70.42,$0,$100,$70.42,$0,,,,,,,,,,,,
7/3/2013,new-york-yankees,minnesota-twins,52.81%,-112,112,-166,146,54,34,$100,$60.24,$160.24,$100,$60.24,$160.24,$100,$146.00,$0,,,,,,,,,
7/3/2013,philadelphia-phillies,pittsburgh-pirates,-57.48%,135,-135,173,-200,38,65,$100,$50.00,$150.00,$100,$50.00,$150.00,$100,$173.00,$0,,,,,,,,,
7/3/2013,seattle-mariners,texas-rangers,-57.15%,133,-133,124,-142,9,9,$100,$70.42,$0,$100,$70.42,$0,,,,,,,,,,,,
,,,,,,,,,,$1400,-$284.32,-20.31%,$1400,-$95.04,-6.79%,$1200,-$206.00,-17.17%,$300,-$120.00,-40.00%,$0,$0.00,0%,$200,$56.00,28.00%
7/4/2013,arizona-diamondbacks,new-york-mets,50.21%,-101,101,-117,100,16,1,$100,$85.47,$185.47,$100,$85.47,$185.47,,,,,,,,,,,,
7/4/2013,miami-marlins,atlanta-braves,-61.59%,160,-160,213,-250,53,90,$100,$40.00,$0,$100,$40.00,$0,$100,$213.00,$313.00,,,,,,,$100,$213.00,$313.00
7/4/2013,baltimore-orioles,chicago-white-sox,56.83%,-132,132,-108,-107,24,39,$100,$92.59,$0,$100,$92.59,$0,$100,$92.59,$0,$100,$92.59,$0,,,,,,
7/4/2013,san-diego-padres,boston-red-sox,-59.97%,150,-150,141,-161,9,11,$100,$62.11,$162.11,$100,$62.11,$162.11,,,,,,,,,,,,
7/4/2013,chicago-cubs,oakland-athletics,-56.48%,130,-130,142,-161,12,31,$100,$62.11,$162.11,$100,$62.11,$162.11,$100,$142.00,$0,,,,,,,,,
7/4/2013,seattle-mariners,cincinnati-reds,-59.18%,145,-145,179,-200,34,55,$100,$50.00,$0,$100,$50.00,$0,$100,$179.00,$279.00,,,,,,,,,
7/4/2013,cleveland-indians,kansas-city-royals,52.38%,-110,110,125,-144,35,54,$100,$125.00,$0,$100,$69.44,$169.44,$100,$125.00,$0,$100,$125.00,$0,$100,$125.00,$0,,,
7/4/2013,los-angeles-dodgers,colorado-rockies,50.23%,-101,101,118,-135,19,36,$100,$118.00,$0,$100,$74.07,$174.07,$100,$118.00,$0,$100,$118.00,$0,$100,$118.00,$0,,,
7/4/2013,detroit-tigers,toronto-blue-jays,54.79%,-121,121,-131,114,10,7,$100,$76.34,$176.34,$100,$76.34,$176.34,,,,,,,,,,,,
7/4/2013,tampa-bay-rays,houston-astros,61.17%,-158,158,-161,140,3,18,$100,$62.11,$162.11,$100,$62.11,$162.11,,,,,,,,,,,,
7/4/2013,milwaukee-brewers,washington-nationals,-54.84%,121,-121,138,-158,17,37,$100,$63.29,$163.29,$100,$63.29,$163.29,$100,$138.00,$0,,,,,,,,,
7/4/2013,new-york-yankees,minnesota-twins,53.19%,-114,114,108,-125,22,39,$100,$108.00,$208.00,$100,$80.00,$0,$100,$108.00,$208.00,$100,$108.00,$208.00,$100,$108.00,$208.00,,,
7/4/2013,philadelphia-phillies,pittsburgh-pirates,-57.94%,138,-138,117,-135,21,3,$100,$74.07,$0,$100,$74.07,$0,$100,$74.07,$0,$100,$74.07,$0,,,,,,
7/4/2013,los-angeles-dodgers,san-francisco-giants,52.45%,-110,110,121,-138,31,48,$100,$121.00,$221.00,$100,$72.46,$0,$100,$121.00,$221.00,$100,$121.00,$221.00,$100,$121.00,$221.00,,,
7/4/2013,seattle-mariners,texas-rangers,-56.72%,131,-131,123,-140,8,9,$100,$71.43,$171.43,$100,$71.43,$171.43,,,,,,,,,,,,
,,,,,,,,,,$1500,$111.86,7.46%,$1500,$26.38,1.76%,$1000,$21.00,2.10%,$600,-$171.00,-28.50%,$400,$29.00,7.25%,$100,$213.00,213.00%
7/5/2013,colorado-rockies,arizona-diamondbacks,-53.61%,116,-116,119,-133,3,17,$100,$75.19,$175.19,$100,$75.19,$175.19,$100,$119.00,$0,,,,,,,,,
7/5/2013,atlanta-braves,philadelphia-phillies,57.38%,-135,135,140,-161,75,96,$100,$140.00,$0,$100,$62.11,$162.11,$100,$140.00,$0,$100,$140.00,$0,$100,$140.00,$0,$100,$140.00,$0
7/5/2013,baltimore-orioles,new-york-yankees,52.39%,-110,110,-112,-103,2,13,$100,$89.29,$0,$100,$89.29,$0,,,,,,,,,,,,
7/5/2013,boston-red-sox,los-angeles-angels,56.84%,-132,132,120,-138,52,70,$100,$120.00,$220.00,$100,$72.46,$0,$100,$120.00,$220.00,$100,$120.00,$220.00,$100,$120.00,$220.00,$100,$120.00,$220.00
