date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/3/2009,tampa-bay-rays,texas-rangers,51.25%,-105,105,-144,125,39,20,$100,$69.44,$0,$100,$69.44,$0,$100,$125.00,$225.00,,,,,,,,,
7/3/2009,atlanta-braves,washington-nationals,58.02%,-138,138,-126,108,12,30,$100,$79.37,$179.37,$100,$79.37,$179.37,$100,$79.37,$179.37,$100,$79.37,$179.37,,,,,,
,,,,,,,,,,$1200,-$507.03,-42.25%,$1200,-$12.11,-1.01%,$1000,$92.46,9.25%,$600,-$230.54,-38.42%,$300,-$300.00,-100.00%,$400,-$151.00,-37.75%
7/4/2009,arizona-diamondbacks,colorado-rockies,-59.11%,145,-145,179,-208,34,63,$100,$48.08,$0,$100,$48.08,$0,$100,$179.00,$279.00,,,,,,,,,
7/4/2009,baltimore-orioles,los-angeles-angels,-56.52%,130,-130,136,-156,6,26,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$136.00,$0,,,,,,,,,
7/4/2009,seattle-mariners,boston-red-sox,-57.27%,134,-134,193,-227,59,93,$100,$44.05,$0,$100,$44.05,$0,$100,$193.00,$293.00,,,,,,,$100,$193.00,$293.00
7/4/2009,milwaukee-brewers,chicago-cubs,-53.35%,114,-114,144,-166,30,52,$100,$60.24,$0,$100,$60.24,$0,$100,$144.00,$244.00,,,,,,,,,
7/4/2009,oakland-athletics,cleveland-indians,51.94%,-108,108,-105,-112,3,20,$100,$95.24,$0,$100,$89.29,$189.29,$100,$95.24,$0,$100,$95.24,$0,,,,,,
7/4/2009,detroit-tigers,minnesota-twins,-50.03%,100,-100,108,-125,8,25,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$108.00,$0,,,,,,,,,
7/4/2009,houston-astros,san-francisco-giants,-55.77%,126,-126,177,-208,51,82,$100,$48.08,$148.08,$100,$48.08,$148.08,$100,$177.00,$0,,,,,,,$100,$177.00,$0
7/4/2009,pittsburgh-pirates,miami-marlins,-55.29%,124,-124,127,-147,3,23,$100,$68.03,$168.03,$100,$68.03,$168.03,$100,$127.00,$0,,,,,,,,,
7/4/2009,new-york-mets,philadelphia-phillies,-50.27%,101,-101,125,-144,24,43,$100,$69.44,$169.44,$100,$69.44,$169.44,$100,$125.00,$0,,,,,,,,,
7/4/2009,toronto-blue-jays,new-york-yankees,-54.31%,119,-119,-119,100,38,19,$100,$100.00,$200.00,$100,$84.03,$0,$100,$100.00,$200.00,$100,$100.00,$200.00,$100,$100.00,$200.00,,,
7/4/2009,tampa-bay-rays,texas-rangers,50.56%,-102,102,-128,110,26,8,$100,$78.13,$0,$100,$78.13,$0,$100,$110.00,$210.00,,,,,,,,,
7/4/2009,atlanta-braves,washington-nationals,58.21%,-139,139,-142,121,3,18,$100,$70.42,$0,$100,$70.42,$0,,,,,,,,,,,,
,,,,,,,,,,$1200,-$170.35,-14.20%,$1200,-$181.06,-15.09%,$1100,$126.00,11.45%,$200,$0.00,0.00%,$100,$100.00,100.00%,$200,$93.00,46.50%
7/5/2009,arizona-diamondbacks,colorado-rockies,-56.65%,131,-131,-103,-116,34,15,$100,$86.21,$0,$100,$86.21,$0,$100,$86.21,$0,$100,$86.21,$0,,,,,,
7/5/2009,baltimore-orioles,los-angeles-angels,-57.48%,135,-135,148,-172,13,37,$100,$58.14,$158.14,$100,$58.14,$158.14,$100,$148.00,$0,,,,,,,,,
7/5/2009,seattle-mariners,boston-red-sox,-56.71%,131,-131,236,-294,105,163,$100,$34.01,$134.01,$100,$34.01,$134.01,$100,$236.00,$0,,,,,,,$100,$236.00,$0
7/5/2009,milwaukee-brewers,chicago-cubs,-50.80%,103,-103,133,-158,30,55,$100,$63.29,$163.29,$100,$63.29,$163.29,$100,$133.00,$0,,,,,,,,,
7/5/2009,oakland-athletics,cleveland-indians,-50.01%,100,-100,175,-217,75,117,$100,$46.08,$0,$100,$46.08,$0,$100,$175.00,$275.00,,,,,,,$100,$175.00,$275.00
7/5/2009,detroit-tigers,minnesota-twins,-50.78%,103,-103,-126,108,29,11,$100,$108.00,$208.00,$100,$79.37,$0,$100,$108.00,$208.00,$100,$108.00,$208.00,$100,$108.00,$208.00,,,
7/5/2009,houston-astros,san-francisco-giants,-56.90%,132,-132,-117,-103,49,29,$100,$97.09,$0,$100,$85.47,$185.47,$100,$97.09,$0,$100,$97.09,$0,,,,,,
7/5/2009,pittsburgh-pirates,miami-marlins,-56.84%,132,-132,142,-169,10,37,$100,$59.17,$159.17,$100,$59.17,$159.17,$100,$142.00,$0,,,,,,,,,
7/5/2009,new-york-mets,philadelphia-phillies,-52.93%,112,-112,-105,-113,17,1,$100,$88.50,$188.50,$100,$88.50,$188.50,,,,,,,,,,,,
7/5/2009,toronto-blue-jays,new-york-yankees,-56.21%,128,-128,168,-204,40,76,$100,$49.02,$149.02,$100,$49.02,$149.02,$100,$168.00,$0,,,,,,,,,
7/5/2009,tampa-bay-rays,texas-rangers,-50.69%,103,-103,-135,114,38,17,$100,$114.00,$214.00,$100,$74.07,$0,$100,$114.00,$214.00,$100,$114.00,$214.00,$100,$114.00,$214.00,,,
7/5/2009,atlanta-braves,washington-nationals,57.86%,-137,137,-142,121,5,16,$100,$70.42,$0,$100,$70.42,$0,,,,,,,,,,,,
,,,,,,,,,,$1200,$174.13,14.51%,$1200,-$62.40,-5.20%,$1000,-$303.00,-30.30%,$400,$22.00,5.50%,$200,$222.00,111.00%,$200,$75.00,37.50%
7/6/2009,san-diego-padres,arizona-diamondbacks,-51.30%,105,-105,145,-169,40,64,$100,$59.17,$159.17,$100,$59.17,$159.17,$100,$145.00,$0,,,,,,,,,
7/6/2009,atlanta-braves,chicago-cubs,-56.15%,128,-128,-103,-117,31,11,$100,$85.47,$185.47,$100,$85.47,$185.47,$100,$85.47,$185.47,$100,$85.47,$185.47,,,,,,
7/6/2009,baltimore-orioles,seattle-mariners,-56.59%,130,-130,-105,-113,35,17,$100,$88.50,$188.50,$100,$88.50,$188.50,$100,$88.50,$188.50,$100,$88.50,$188.50,,,,,,
7/6/2009,oakland-athletics,boston-red-sox,-59.35%,146,-146,181,-222,35,76,$100,$45.05,$0,$100,$45.05,$0,$100,$181.00,$281.00,,,,,,,,,
7/6/2009,cincinnati-reds,philadelphia-phillies,-50.93%,104,-104,140,-166,36,62,$100,$60.24,$160.24,$100,$60.24,$160.24,$100,$140.00,$0,,,,,,,,,
7/6/2009,kansas-city-royals,detroit-tigers,-57.91%,138,-138,119,-140,19,2,$100,$71.43,$0,$100,$71.43,$0,,,,,,,,,,,,
7/6/2009,pittsburgh-pirates,houston-astros,-53.61%,116,-116,139,-163,23,47,$100,$61.35,$161.35,$100,$61.35,$161.35,$100,$139.00,$0,,,,,,,,,
7/6/2009,texas-rangers,los-angeles-angels,-52.00%,108,-108,127,-151,19,43,$100,$66.23,$166.23,$100,$66.23,$166.23,$100,$127.00,$0,,,,,,,,,
7/6/2009,toronto-blue-jays,new-york-yankees,-57.57%,136,-136,127,-151,9,15,$100,$66.23,$0,$100,$66.23,$0,,,,,,,,,,,,
