date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/1/2014,arizona-diamondbacks,pittsburgh-pirates,-54.50%,120,-120,122,-140,2,20,$100,$71.43,$171.43,$100,$71.43,$171.43,$100,$122.00,$0,,,,,,,,,
7/1/2014,new-york-mets,atlanta-braves,-53.83%,117,-117,158,-181,41,64,$100,$55.25,$155.25,$100,$55.25,$155.25,$100,$158.00,$0,,,,,,,,,
7/1/2014,texas-rangers,baltimore-orioles,-55.03%,122,-122,129,-149,7,27,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$129.00,$0,,,,,,,,,
7/1/2014,chicago-cubs,boston-red-sox,-50.36%,101,-101,152,-175,51,74,$100,$57.14,$0,$100,$57.14,$0,$100,$152.00,$252.00,,,,,,,$100,$152.00,$252.00
7/1/2014,los-angeles-angels,chicago-white-sox,56.47%,-130,130,-169,145,39,15,$100,$59.17,$159.17,$100,$59.17,$159.17,$100,$145.00,$0,,,,,,,,,
7/1/2014,cincinnati-reds,san-diego-padres,55.96%,-127,127,-109,-106,18,33,$100,$91.74,$0,$100,$91.74,$0,$100,$91.74,$0,$100,$91.74,$0,,,,,,
7/1/2014,cleveland-indians,los-angeles-dodgers,-56.13%,128,-128,118,-136,10,8,$100,$73.53,$0,$100,$73.53,$0,,,,,,,,,,,,
7/1/2014,colorado-rockies,washington-nationals,-57.48%,135,-135,210,-250,75,115,$100,$40.00,$140.00,$100,$40.00,$140.00,$100,$210.00,$0,,,,,,,$100,$210.00,$0
7/1/2014,oakland-athletics,detroit-tigers,56.29%,-129,129,104,-119,33,48,$100,$104.00,$0,$100,$84.03,$184.03,$100,$104.00,$0,$100,$104.00,$0,$100,$104.00,$0,,,
7/1/2014,seattle-mariners,houston-astros,57.55%,-136,136,-133,116,3,20,$100,$75.19,$175.19,$100,$75.19,$175.19,$100,$75.19,$175.19,$100,$75.19,$175.19,,,,,,
7/1/2014,kansas-city-royals,minnesota-twins,54.18%,-118,118,-138,121,20,3,$100,$72.46,$0,$100,$72.46,$0,$100,$121.00,$221.00,,,,,,,,,
7/1/2014,philadelphia-phillies,miami-marlins,51.33%,-105,105,131,-149,36,54,$100,$131.00,$0,$100,$67.11,$167.11,$100,$131.00,$0,$100,$131.00,$0,$100,$131.00,$0,,,
7/1/2014,milwaukee-brewers,toronto-blue-jays,54.63%,-120,120,114,-131,34,51,$100,$114.00,$0,$100,$76.34,$176.34,$100,$114.00,$0,$100,$114.00,$0,$100,$114.00,$0,,,
7/1/2014,tampa-bay-rays,new-york-yankees,-50.06%,100,-100,-125,108,25,8,$100,$108.00,$0,$100,$80.00,$180.00,$100,$108.00,$0,$100,$108.00,$0,$100,$108.00,$0,,,
,,,,,,,,,,$1400,-$431.85,-30.85%,$1400,$275.63,19.69%,$1300,-$651.81,-50.14%,$600,-$424.81,-70.80%,$400,-$400.00,-100.00%,$200,$52.00,26.00%
7/2/2014,arizona-diamondbacks,pittsburgh-pirates,-54.76%,121,-121,146,-166,25,45,$100,$60.24,$160.24,$100,$60.24,$160.24,$100,$146.00,$0,,,,,,,,,
7/2/2014,new-york-mets,atlanta-braves,-54.07%,118,-118,169,-196,51,78,$100,$51.02,$151.02,$100,$51.02,$151.02,$100,$169.00,$0,,,,,,,$100,$169.00,$0
7/2/2014,texas-rangers,baltimore-orioles,-55.69%,126,-126,121,-138,5,12,$100,$72.46,$172.46,$100,$72.46,$172.46,,,,,,,,,,,,
7/2/2014,chicago-cubs,boston-red-sox,50.30%,-101,101,158,-181,59,82,$100,$158.00,$258.00,$100,$55.25,$0,$100,$158.00,$258.00,$100,$158.00,$258.00,$100,$158.00,$258.00,$100,$158.00,$258.00
