date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
1/15/2010,phoenix-suns,atlanta-hawks,-69.18%,224,-224,193,-243,31,19,$100,$41.15,$141.15,$100,$41.15,$141.15,,,,,,,,,,,,
1/15/2010,indiana-pacers,brooklyn-nets,64.15%,-179,179,-149,121,30,58,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$67.11,$167.11,,,,,,
1/15/2010,san-antonio-spurs,charlotte-hornets,50.36%,-101,101,-133,108,32,7,$100,$75.19,$0,$100,$75.19,$0,$100,$108.00,$208.00,,,,,,,,,
1/15/2010,washington-wizards,chicago-bulls,-71.22%,247,-247,202,-250,45,3,$100,$40.00,$140.00,$100,$40.00,$140.00,,,,,,,,,,,,
1/15/2010,oklahoma-city-thunder,dallas-mavericks,52.54%,-111,111,177,-222,88,133,$100,$177.00,$0,$100,$45.05,$145.05,$100,$177.00,$0,$100,$177.00,$0,$100,$177.00,$0,,,
1/15/2010,new-orleans-pelicans,detroit-pistons,67.85%,-211,211,-142,117,69,94,$100,$70.42,$0,$100,$70.42,$0,$100,$70.42,$0,$100,$70.42,$0,,,,,,
1/15/2010,milwaukee-bucks,golden-state-warriors,-51.71%,107,-107,141,-175,34,68,$100,$57.14,$0,$100,$57.14,$0,$100,$141.00,$241.00,,,,,,,,,
1/15/2010,miami-heat,houston-rockets,-63.39%,173,-173,159,-196,14,23,$100,$51.02,$0,$100,$51.02,$0,,,,,,,,,,,,
1/15/2010,los-angeles-clippers,los-angeles-lakers,-78.03%,355,-355,537,-833,182,278,$100,$12.00,$112.00,$100,$12.00,$112.00,$100,$537.00,$0,,,,,,,$100,$537.00,$0
1/15/2010,minnesota-timberwolves,memphis-grizzlies,-76.10%,318,-318,272,-357,46,39,$100,$28.01,$128.01,$100,$28.01,$128.01,,,,,,,,,,,,
1/15/2010,toronto-raptors,new-york-knicks,-59.26%,145,-145,112,-136,33,9,$100,$73.53,$0,$100,$73.53,$0,$100,$73.53,$0,$100,$73.53,$0,,,,,,
1/15/2010,orlando-magic,portland-trail-blazers,-61.37%,159,-159,-227,181,186,140,$100,$181.00,$281.00,$100,$44.05,$0,$100,$181.00,$281.00,$100,$181.00,$281.00,$100,$181.00,$281.00,$100,$181.00,$281.00
1/15/2010,sacramento-kings,philadelphia-76ers,-58.48%,141,-141,129,-158,12,17,$100,$63.29,$163.29,$100,$63.29,$163.29,,,,,,,,,,,,
,,,,,,,,,,$1300,-$167.43,-12.88%,$1300,-$303.38,-23.34%,$800,$97.11,12.14%,$500,-$51.89,-10.38%,$200,$81.00,40.50%,$200,$81.00,40.50%
1/16/2010,phoenix-suns,charlotte-hornets,-76.83%,332,-332,123,-149,9,183,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$67.11,$167.11,,,,$100,$67.11,$167.11
1/16/2010,cleveland-cavaliers,los-angeles-clippers,70.86%,-243,243,-416,323,173,80,$100,$24.04,$124.04,$100,$24.04,$124.04,$100,$323.00,$0,,,,,,,,,
1/16/2010,new-york-knicks,detroit-pistons,56.16%,-128,128,-106,-116,22,44,$100,$94.34,$0,$100,$86.21,$186.21,$100,$94.34,$0,$100,$94.34,$0,,,,,,
1/16/2010,new-orleans-pelicans,indiana-pacers,-52.46%,110,-110,116,-140,6,30,$100,$71.43,$0,$100,$71.43,$0,$100,$116.00,$216.00,,,,,,,,,
1/16/2010,san-antonio-spurs,memphis-grizzlies,50.50%,-102,102,-102,-120,0,22,$100,$98.04,$0,$100,$83.33,$183.33,,,,,,,,,,,,
1/16/2010,miami-heat,oklahoma-city-thunder,-60.55%,153,-153,156,-192,3,39,$100,$52.08,$152.08,$100,$52.08,$152.08,$100,$156.00,$0,,,,,,,,,
1/16/2010,milwaukee-bucks,utah-jazz,-71.07%,246,-246,455,-666,9,220,$100,$15.02,$115.02,$100,$15.02,$115.02,$100,$455.00,$0,,,,,,,,,
1/16/2010,sacramento-kings,washington-wizards,-51.25%,105,-105,-123,100,28,5,$100,$100.00,$200.00,$100,$81.30,$0,$100,$100.00,$200.00,$100,$100.00,$200.00,$100,$100.00,$200.00,,,
,,,,,,,,,,$800,-$41.75,-5.22%,$800,$127.79,15.97%,$700,-$116.89,-16.70%,$300,$67.11,22.37%,$100,$100.00,100.00%,$100,$67.11,67.11%
1/18/2010,oklahoma-city-thunder,atlanta-hawks,-62.51%,167,-167,202,-250,35,83,$100,$40.00,$0,$100,$40.00,$0,$100,$202.00,$302.00,,,,,,,,,
1/18/2010,dallas-mavericks,boston-celtics,-58.96%,144,-144,168,-208,24,64,$100,$48.08,$0,$100,$48.08,$0,$100,$168.00,$268.00,,,,,,,,,
1/18/2010,sacramento-kings,charlotte-hornets,-79.92%,398,-398,236,-303,162,95,$100,$33.00,$133.00,$100,$33.00,$133.00,$100,$33.00,$133.00,$100,$33.00,$133.00,,,,,,
1/18/2010,chicago-bulls,golden-state-warriors,62.58%,-167,167,-135,112,32,55,$100,$74.07,$0,$100,$74.07,$0,$100,$74.07,$0,$100,$74.07,$0,,,,,,
1/18/2010,detroit-pistons,new-york-knicks,-68.44%,217,-217,275,-370,58,153,$100,$27.03,$127.03,$100,$27.03,$127.03,$100,$275.00,$0,,,,,,,,,
1/18/2010,milwaukee-bucks,houston-rockets,-71.48%,251,-251,229,-294,22,43,$100,$34.01,$134.01,$100,$34.01,$134.01,,,,,,,,,,,,
1/18/2010,orlando-magic,los-angeles-lakers,-76.34%,323,-323,211,-270,112,53,$100,$37.04,$137.04,$100,$37.04,$137.04,$100,$37.04,$137.04,$100,$37.04,$137.04,,,,,,
1/18/2010,phoenix-suns,memphis-grizzlies,-74.03%,285,-285,110,-133,175,152,$100,$75.19,$175.19,$100,$75.19,$175.19,$100,$75.19,$175.19,$100,$75.19,$175.19,,,,$100,$75.19,$175.19
