date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
1/15/2012,utah-jazz,denver-nuggets,-65.09%,186,-186,496,-769,110,383,$100,$13.00,$0,$100,$13.00,$0,$100,$496.00,$596.00,,,,,,,$100,$496.00,$596.00
1/15/2012,golden-state-warriors,detroit-pistons,55.29%,-124,124,162,-192,86,116,$100,$162.00,$262.00,$100,$52.08,$0,$100,$162.00,$262.00,$100,$162.00,$262.00,$100,$162.00,$262.00,,,
1/15/2012,phoenix-suns,san-antonio-spurs,-67.34%,206,-206,342,-434,136,28,$100,$23.04,$123.04,$100,$23.04,$123.04,$100,$342.00,$0,,,,,,,$100,$342.00,$0
,,,,,,,,,,$300,$85.04,28.35%,$300,-$176.96,-58.99%,$300,$558.00,186.00%,$100,$162.00,162.00%,$100,$162.00,162.00%,$200,$396.00,198.00%
1/16/2012,toronto-raptors,atlanta-hawks,-72.55%,264,-264,509,-714,45,250,$100,$14.01,$114.01,$100,$14.01,$114.01,$100,$509.00,$0,,,,,,,,,
1/16/2012,oklahoma-city-thunder,boston-celtics,62.78%,-169,169,-147,124,22,45,$100,$68.03,$168.03,$100,$68.03,$168.03,$100,$68.03,$168.03,$100,$68.03,$168.03,,,,,,
1/16/2012,cleveland-cavaliers,charlotte-hornets,74.32%,-289,289,-103,-119,186,208,$100,$97.09,$197.09,$100,$84.03,$0,$100,$97.09,$197.09,$100,$97.09,$197.09,,,,$100,$97.09,$197.09
1/16/2012,chicago-bulls,memphis-grizzlies,74.18%,-287,287,-144,123,143,164,$100,$69.44,$0,$100,$69.44,$0,$100,$69.44,$0,$100,$69.44,$0,,,,$100,$69.44,$0
1/16/2012,dallas-mavericks,los-angeles-lakers,-63.39%,173,-173,147,-175,26,2,$100,$57.14,$157.14,$100,$57.14,$157.14,,,,,,,,,,,,
1/16/2012,houston-rockets,washington-wizards,67.31%,-206,206,-232,190,26,16,$100,$43.10,$143.10,$100,$43.10,$143.10,,,,,,,,,,,,
1/16/2012,milwaukee-bucks,philadelphia-76ers,-85.69%,599,-599,371,-500,28,99,$100,$20.00,$120.00,$100,$20.00,$120.00,$100,$20.00,$120.00,$100,$20.00,$120.00,,,,,,
1/16/2012,sacramento-kings,minnesota-timberwolves,-75.59%,310,-310,259,-322,51,12,$100,$31.06,$131.06,$100,$31.06,$131.06,,,,,,,,,,,,
1/16/2012,portland-trail-blazers,new-orleans-pelicans,65.30%,-188,188,-243,200,55,12,$100,$41.15,$141.15,$100,$41.15,$141.15,$100,$200.00,$0,,,,,,,,,
1/16/2012,orlando-magic,new-york-knicks,60.13%,-151,151,-128,106,23,45,$100,$78.13,$178.13,$100,$78.13,$178.13,$100,$78.13,$178.13,$100,$78.13,$178.13,,,,,,
,,,,,,,,,,$1000,$349.70,34.97%,$1000,$152.61,15.26%,$700,-$36.76,-5.25%,$500,$163.24,32.65%,$0,$0.00,0%,$200,-$2.91,-1.46%
1/17/2012,charlotte-hornets,orlando-magic,-80.66%,417,-417,738,-1111,121,494,$100,$9.00,$109.00,$100,$9.00,$109.00,$100,$738.00,$0,,,,,,,$100,$738.00,$0
1/17/2012,phoenix-suns,chicago-bulls,-69.62%,229,-229,384,-500,155,71,$100,$20.00,$120.00,$100,$20.00,$120.00,$100,$384.00,$0,,,,,,,$100,$384.00,$0
1/17/2012,golden-state-warriors,cleveland-cavaliers,-59.94%,150,-150,114,-135,36,15,$100,$74.07,$0,$100,$74.07,$0,$100,$74.07,$0,$100,$74.07,$0,,,,,,
1/17/2012,denver-nuggets,milwaukee-bucks,67.30%,-206,206,-149,125,57,81,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$67.11,$167.11,,,,,,
1/17/2012,detroit-pistons,houston-rockets,-64.93%,185,-185,277,-344,92,159,$100,$29.07,$129.07,$100,$29.07,$129.07,$100,$277.00,$0,,,,,,,,,
1/17/2012,los-angeles-clippers,utah-jazz,-59.26%,145,-145,162,-196,17,51,$100,$51.02,$151.02,$100,$51.02,$151.02,$100,$162.00,$0,,,,,,,,,
1/17/2012,san-antonio-spurs,miami-heat,-59.26%,145,-145,254,-322,109,177,$100,$31.06,$131.06,$100,$31.06,$131.06,$100,$254.00,$0,,,,,,,$100,$254.00,$0
,,,,,,,,,,$700,$107.26,15.32%,$700,$107.26,15.32%,$700,-$532.89,-76.13%,$200,-$32.89,-16.44%,$0,$0.00,0%,$300,-$300.00,-100.00%
