date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
1/15/2009,portland-trail-blazers,brooklyn-nets,51.13%,-105,105,-133,104,28,1,$100,$75.19,$175.19,$100,$75.19,$175.19,,,,,,,,,,,,
1/15/2009,cleveland-cavaliers,chicago-bulls,80.68%,-418,418,-370,270,48,148,$100,$27.03,$0,$100,$27.03,$0,$100,$27.03,$0,$100,$27.03,$0,,,,,,
1/15/2009,phoenix-suns,denver-nuggets,-59.26%,145,-145,100,-125,45,20,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$80.00,$180.00,,,,,,
,,,,,,,,,,$300,$55.19,18.40%,$300,$55.19,18.40%,$200,-$20.00,-10.00%,$200,-$20.00,-10.00%,$0,$0.00,0%,$0,$0.00,0%
1/16/2009,new-orleans-pelicans,cleveland-cavaliers,-69.52%,228,-228,125,-156,103,72,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$64.10,$164.10,,,,,,
1/16/2009,detroit-pistons,oklahoma-city-thunder,69.55%,-228,228,-166,140,62,88,$100,$60.24,$0,$100,$60.24,$0,$100,$60.24,$0,$100,$60.24,$0,,,,,,
1/16/2009,toronto-raptors,indiana-pacers,-57.25%,134,-134,152,-192,18,58,$100,$52.08,$152.08,$100,$52.08,$152.08,$100,$152.00,$0,,,,,,,,,
1/16/2009,orlando-magic,los-angeles-lakers,-50.59%,102,-102,148,-185,46,83,$100,$54.05,$0,$100,$54.05,$0,$100,$148.00,$248.00,,,,,,,,,
1/16/2009,utah-jazz,memphis-grizzlies,68.64%,-219,219,-192,154,27,65,$100,$52.08,$152.08,$100,$52.08,$152.08,$100,$52.08,$152.08,$100,$52.08,$152.08,,,,,,
1/16/2009,milwaukee-bucks,sacramento-kings,70.15%,-235,235,-107,-114,128,149,$100,$93.46,$193.46,$100,$87.72,$0,$100,$93.46,$193.46,$100,$93.46,$193.46,,,,$100,$93.46,$193.46
1/16/2009,minnesota-timberwolves,phoenix-suns,-69.18%,224,-224,295,-384,71,160,$100,$26.04,$0,$100,$26.04,$0,$100,$295.00,$395.00,,,,,,,,,
1/16/2009,new-york-knicks,washington-wizards,59.55%,-147,147,133,-166,80,113,$100,$133.00,$0,$100,$60.24,$160.24,$100,$133.00,$0,$100,$133.00,$0,$100,$133.00,$0,,,
1/16/2009,san-antonio-spurs,philadelphia-76ers,58.72%,-142,142,-149,120,7,22,$100,$67.11,$0,$100,$67.11,$0,,,,,,,,,,,,
,,,,,,,,,,$900,-$238.27,-26.47%,$900,-$271.49,-30.17%,$800,$352.64,44.08%,$500,$9.64,1.93%,$100,-$100.00,-100.00%,$100,$93.46,93.46%
1/17/2009,portland-trail-blazers,charlotte-hornets,62.56%,-167,167,-138,110,29,57,$100,$72.46,$0,$100,$72.46,$0,$100,$72.46,$0,$100,$72.46,$0,,,,,,
1/17/2009,san-antonio-spurs,chicago-bulls,62.36%,-166,166,-161,129,5,37,$100,$62.11,$162.11,$100,$62.11,$162.11,$100,$62.11,$162.11,$100,$62.11,$162.11,,,,,,
1/17/2009,utah-jazz,dallas-mavericks,-61.24%,158,-158,165,-222,7,64,$100,$45.05,$145.05,$100,$45.05,$145.05,$100,$165.00,$0,,,,,,,,,
1/17/2009,new-orleans-pelicans,detroit-pistons,54.65%,-121,121,-138,114,17,7,$100,$72.46,$172.46,$100,$72.46,$172.46,,,,,,,,,,,,
