date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
1/15/2015,cleveland-cavaliers,los-angeles-lakers,-50.46%,102,-102,-263,215,165,117,$100,$215.00,$0,$100,$38.02,$138.02,$100,$215.00,$0,$100,$215.00,$0,$100,$215.00,$0,$100,$215.00,$0
1/15/2015,oklahoma-city-thunder,houston-rockets,-64.72%,183,-183,-142,121,125,104,$100,$121.00,$221.00,$100,$70.42,$0,$100,$121.00,$221.00,$100,$121.00,$221.00,$100,$121.00,$221.00,$100,$121.00,$221.00
1/15/2015,new-york-knicks,milwaukee-bucks,-81.49%,440,-440,270,-333,170,107,$100,$30.03,$130.03,$100,$30.03,$130.03,$100,$30.03,$130.03,$100,$30.03,$130.03,,,,$100,$30.03,$130.03
,,,,,,,,,,$300,$51.03,17.01%,$300,-$31.95,-10.65%,$300,$51.03,17.01%,$300,$51.03,17.01%,$200,$21.00,10.50%,$300,$51.03,17.01%
1/16/2015,atlanta-hawks,toronto-raptors,62.87%,-169,169,-126,108,43,61,$100,$79.37,$179.37,$100,$79.37,$179.37,$100,$79.37,$179.37,$100,$79.37,$179.37,,,,,,
1/16/2015,chicago-bulls,boston-celtics,66.09%,-195,195,-212,175,17,20,$100,$47.17,$147.17,$100,$47.17,$147.17,,,,,,,,,,,,
1/16/2015,brooklyn-nets,washington-wizards,-65.84%,193,-193,418,-555,25,162,$100,$18.02,$0,$100,$18.02,$0,$100,$418.00,$518.00,,,,,,,,,
1/16/2015,cleveland-cavaliers,los-angeles-clippers,-72.95%,270,-270,300,-384,30,114,$100,$26.04,$0,$100,$26.04,$0,$100,$300.00,$400.00,,,,,,,,,
1/16/2015,denver-nuggets,dallas-mavericks,-66.82%,201,-201,307,-384,106,183,$100,$26.04,$126.04,$100,$26.04,$126.04,$100,$307.00,$0,,,,,,,$100,$307.00,$0
1/16/2015,detroit-pistons,indiana-pacers,59.83%,-149,149,-104,-113,45,62,$100,$96.15,$196.15,$100,$88.50,$0,$100,$96.15,$196.15,$100,$96.15,$196.15,,,,,,
1/16/2015,golden-state-warriors,oklahoma-city-thunder,74.16%,-287,287,-111,-106,176,193,$100,$90.09,$0,$100,$90.09,$0,$100,$90.09,$0,$100,$90.09,$0,,,,$100,$90.09,$0
1/16/2015,los-angeles-lakers,utah-jazz,-57.67%,136,-136,291,-370,155,34,$100,$27.03,$127.03,$100,$27.03,$127.03,$100,$291.00,$0,,,,,,,$100,$291.00,$0
1/16/2015,memphis-grizzlies,orlando-magic,69.94%,-233,233,-227,186,6,47,$100,$44.05,$144.05,$100,$44.05,$144.05,$100,$44.05,$144.05,$100,$44.05,$144.05,,,,,,
1/16/2015,miami-heat,sacramento-kings,-50.64%,103,-103,134,-158,31,55,$100,$63.29,$0,$100,$63.29,$0,$100,$134.00,$234.00,,,,,,,,,
1/16/2015,minnesota-timberwolves,phoenix-suns,-74.70%,295,-295,944,-1666,449,1171,$100,$6.00,$106.00,$100,$6.00,$106.00,$100,$944.00,$0,,,,,,,$100,$944.00,$0
1/16/2015,new-orleans-pelicans,philadelphia-76ers,80.59%,-415,415,-294,238,121,177,$100,$34.01,$0,$100,$34.01,$0,$100,$34.01,$0,$100,$34.01,$0,,,,$100,$34.01,$0
1/16/2015,portland-trail-blazers,san-antonio-spurs,59.86%,-149,149,158,-188,107,137,$100,$158.00,$0,$100,$53.19,$153.19,$100,$158.00,$0,$100,$158.00,$0,$100,$158.00,$0,$100,$158.00,$0
,,,,,,,,,,$1300,-$274.19,-21.09%,$1300,-$317.15,-24.40%,$1200,$471.57,39.30%,$600,-$80.43,-13.40%,$100,-$100.00,-100.00%,$600,-$600.00,-100.00%
1/17/2015,atlanta-hawks,chicago-bulls,66.99%,-203,203,-156,133,47,70,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$64.10,$164.10,,,,,,
1/17/2015,washington-wizards,brooklyn-nets,61.48%,-160,160,-232,191,72,31,$100,$43.10,$143.10,$100,$43.10,$143.10,$100,$191.00,$0,,,,,,,,,
1/17/2015,indiana-pacers,charlotte-hornets,50.45%,-102,102,-133,112,31,10,$100,$75.19,$0,$100,$75.19,$0,$100,$112.00,$212.00,,,,,,,,,
1/17/2015,minnesota-timberwolves,denver-nuggets,-72.03%,258,-258,582,-833,124,375,$100,$12.00,$0,$100,$12.00,$0,$100,$582.00,$682.00,,,,,,,$100,$582.00,$682.00
1/17/2015,philadelphia-76ers,detroit-pistons,-76.68%,329,-329,767,-1249,238,720,$100,$8.01,$108.01,$100,$8.01,$108.01,$100,$767.00,$0,,,,,,,$100,$767.00,$0
1/17/2015,golden-state-warriors,houston-rockets,59.38%,-146,146,106,-125,52,71,$100,$106.00,$206.00,$100,$80.00,$0,$100,$106.00,$206.00,$100,$106.00,$206.00,$100,$106.00,$206.00,,,
1/17/2015,los-angeles-clippers,sacramento-kings,66.75%,-201,201,-526,409,125,8,$100,$19.01,$119.01,$100,$19.01,$119.01,$100,$409.00,$0,,,,,,,,,
1/17/2015,portland-trail-blazers,memphis-grizzlies,-50.92%,104,-104,121,-142,17,38,$100,$70.42,$170.42,$100,$70.42,$170.42,$100,$121.00,$0,,,,,,,,,
,,,,,,,,,,$800,$110.65,13.83%,$800,-$95.35,-11.92%,$800,$464.10,58.01%,$200,$170.10,85.05%,$100,$106.00,106.00%,$200,$482.00,241.00%
1/18/2015,new-orleans-pelicans,toronto-raptors,-68.83%,221,-221,488,-666,67,245,$100,$15.02,$0,$100,$15.02,$0,$100,$488.00,$588.00,,,,,,,,,
1/18/2015,oklahoma-city-thunder,orlando-magic,61.33%,-159,159,-476,368,117,9,$100,$21.01,$121.01,$100,$21.01,$121.01,$100,$368.00,$0,,,,,,,,,
1/18/2015,utah-jazz,san-antonio-spurs,-67.66%,209,-209,642,-909,233,500,$100,$11.00,$111.00,$100,$11.00,$111.00,$100,$642.00,$0,,,,,,,$100,$642.00,$0
,,,,,,,,,,$300,-$67.99,-22.66%,$300,-$67.99,-22.66%,$300,$288.00,96.00%,$0,$0.00,0%,$0,$0.00,0%,$100,-$100.00,-100.00%
1/19/2015,detroit-pistons,atlanta-hawks,-69.86%,232,-232,267,-333,35,101,$100,$30.03,$130.03,$100,$30.03,$130.03,$100,$267.00,$0,,,,,,,,,
1/19/2015,boston-celtics,los-angeles-clippers,-71.96%,257,-257,653,-909,196,452,$100,$11.00,$111.00,$100,$11.00,$111.00,$100,$653.00,$0,,,,,,,$100,$653.00,$0
