date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
1/15/2013,toronto-raptors,brooklyn-nets,-68.83%,221,-221,240,-294,19,73,$100,$34.01,$134.01,$100,$34.01,$134.01,$100,$240.00,$0,,,,,,,,,
1/15/2013,indiana-pacers,charlotte-hornets,70.75%,-242,242,-370,298,128,56,$100,$27.03,$127.03,$100,$27.03,$127.03,$100,$298.00,$0,,,,,,,,,
1/15/2013,portland-trail-blazers,denver-nuggets,-69.24%,225,-225,366,-476,141,51,$100,$21.01,$121.01,$100,$21.01,$121.01,$100,$366.00,$0,,,,,,,$100,$366.00,$0
1/15/2013,los-angeles-clippers,houston-rockets,62.64%,-168,168,131,-153,99,121,$100,$131.00,$231.00,$100,$65.36,$0,$100,$131.00,$231.00,$100,$131.00,$231.00,$100,$131.00,$231.00,,,
1/15/2013,milwaukee-bucks,los-angeles-lakers,56.34%,-129,129,208,-250,137,179,$100,$208.00,$0,$100,$40.00,$140.00,$100,$208.00,$0,$100,$208.00,$0,$100,$208.00,$0,$100,$208.00,$0
1/15/2013,new-orleans-pelicans,philadelphia-76ers,-51.16%,105,-105,127,-151,22,46,$100,$66.23,$0,$100,$66.23,$0,$100,$127.00,$227.00,,,,,,,,,
,,,,,,,,,,$600,$13.05,2.17%,$600,-$77.95,-12.99%,$600,-$142.00,-23.67%,$200,$31.00,15.50%,$200,$31.00,15.50%,$200,-$200.00,-100.00%
1/16/2013,brooklyn-nets,atlanta-hawks,68.17%,-214,214,123,-144,137,158,$100,$123.00,$0,$100,$69.44,$169.44,$100,$123.00,$0,$100,$123.00,$0,$100,$123.00,$0,$100,$123.00,$0
1/16/2013,new-orleans-pelicans,boston-celtics,-67.12%,204,-204,320,-400,116,196,$100,$25.00,$0,$100,$25.00,$0,$100,$320.00,$420.00,,,,,,,$100,$320.00,$420.00
1/16/2013,chicago-bulls,toronto-raptors,58.44%,-141,141,-200,168,59,27,$100,$50.00,$150.00,$100,$50.00,$150.00,$100,$168.00,$0,,,,,,,,,
1/16/2013,cleveland-cavaliers,portland-trail-blazers,-76.60%,327,-327,218,-270,109,57,$100,$37.04,$0,$100,$37.04,$0,$100,$37.04,$0,$100,$37.04,$0,,,,,,
1/16/2013,houston-rockets,dallas-mavericks,50.40%,-102,102,150,-178,52,80,$100,$150.00,$0,$100,$56.18,$156.18,$100,$150.00,$0,$100,$150.00,$0,$100,$150.00,$0,,,
1/16/2013,denver-nuggets,oklahoma-city-thunder,-70.43%,238,-238,346,-434,108,196,$100,$23.04,$123.04,$100,$23.04,$123.04,$100,$346.00,$0,,,,,,,$100,$346.00,$0
1/16/2013,miami-heat,golden-state-warriors,-60.59%,154,-154,-188,156,142,110,$100,$156.00,$0,$100,$53.19,$153.19,$100,$156.00,$0,$100,$156.00,$0,$100,$156.00,$0,$100,$156.00,$0
1/16/2013,indiana-pacers,orlando-magic,67.27%,-206,206,-129,108,77,98,$100,$77.52,$0,$100,$77.52,$0,$100,$77.52,$0,$100,$77.52,$0,,,,,,
1/16/2013,memphis-grizzlies,san-antonio-spurs,-67.96%,212,-212,195,-238,17,26,$100,$42.02,$142.02,$100,$42.02,$142.02,,,,,,,,,,,,
1/16/2013,washington-wizards,sacramento-kings,-70.36%,237,-237,165,-200,72,37,$100,$50.00,$150.00,$100,$50.00,$150.00,$100,$50.00,$150.00,$100,$50.00,$150.00,,,,,,
,,,,,,,,,,$1000,-$434.94,-43.49%,$1000,$43.87,4.39%,$900,-$330.00,-36.67%,$600,-$450.00,-75.00%,$300,-$300.00,-100.00%,$400,$20.00,5.00%
1/17/2013,new-york-knicks,detroit-pistons,63.69%,-175,175,-227,188,52,13,$100,$44.05,$144.05,$100,$44.05,$144.05,$100,$188.00,$0,,,,,,,,,
1/17/2013,los-angeles-clippers,minnesota-timberwolves,72.42%,-263,263,-212,177,51,86,$100,$47.17,$147.17,$100,$47.17,$147.17,$100,$47.17,$147.17,$100,$47.17,$147.17,,,,,,
1/17/2013,miami-heat,los-angeles-lakers,51.88%,-108,108,125,-147,33,55,$100,$125.00,$225.00,$100,$68.03,$0,$100,$125.00,$225.00,$100,$125.00,$225.00,$100,$125.00,$225.00,,,
1/17/2013,milwaukee-bucks,phoenix-suns,58.73%,-142,142,-112,-106,30,48,$100,$89.29,$189.29,$100,$89.29,$189.29,$100,$89.29,$189.29,$100,$89.29,$189.29,,,,,,
,,,,,,,,,,$400,$305.51,76.38%,$400,$80.51,20.13%,$400,$161.46,40.36%,$300,$261.46,87.15%,$100,$125.00,125.00%,$0,$0.00,0%
1/18/2013,atlanta-hawks,brooklyn-nets,-69.81%,231,-231,238,-294,7,63,$100,$34.01,$134.01,$100,$34.01,$134.01,$100,$238.00,$0,,,,,,,,,
1/18/2013,chicago-bulls,boston-celtics,56.87%,-132,132,114,-135,46,67,$100,$114.00,$214.00,$100,$74.07,$0,$100,$114.00,$214.00,$100,$114.00,$214.00,$100,$114.00,$214.00,,,
